zoning_change_event_id,official_parcel_id,pin14,change_year,previous_zoning_code,new_zoning_code,previous_general_category,new_general_category,zoning_jurisdiction,previous_source_year,new_source_year,zoning_change_type,zoning_intensity_change,confidence,temporal_status,notes,created_at
954,CFS-PARCEL-0149728725,46706514170000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
955,CFS-PARCEL-0149728726,46706525890000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
956,CFS-PARCEL-0149728750,46705557030000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
957,CFS-PARCEL-0149728751,46705583600000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
959,CFS-PARCEL-0149728780,46706526700000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
960,CFS-PARCEL-0149728781,46706534590000,2006,NOT-YET-ZONED,C-2,other_or_review,commercial,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
961,CFS-PARCEL-0149728782,46706535930000,2006,NOT-YET-ZONED,C-2,other_or_review,commercial,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
962,CFS-PARCEL-0149728783,46706568810000,2006,NOT-YET-ZONED,C-2,other_or_review,commercial,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
963,CFS-PARCEL-0149728784,46706620910000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
964,CFS-PARCEL-0149728785,46706624180000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
965,CFS-PARCEL-0149728786,46706633720000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
966,CFS-PARCEL-0149728787,46706636830000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
968,CFS-PARCEL-0149728818,46706502740000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
969,CFS-PARCEL-0149728819,46706512070000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
971,CFS-PARCEL-0149728862,46706640670000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
972,CFS-PARCEL-0149728863,46706644390000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
973,CFS-PARCEL-0149728864,46706654040000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
974,CFS-PARCEL-0149728865,46706658110000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
975,CFS-PARCEL-0149728866,46706665710000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
976,CFS-PARCEL-0149728867,46706665750000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
977,CFS-PARCEL-0149728868,46706666270000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
978,CFS-PARCEL-0149728869,46706675920000,2006,LDR,RV,residential,residential,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
979,CFS-PARCEL-0149728870,46706514260000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
980,CFS-PARCEL-0149728871,46706516130000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
981,CFS-PARCEL-0149728872,46706523060000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
982,CFS-PARCEL-0149728873,46706524950000,2006,NOT-YET-ZONED,C-2,other_or_review,commercial,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
983,CFS-PARCEL-0149728874,46706537460000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
984,CFS-PARCEL-0149728875,46706546950000,2006,NOT-YET-ZONED,C-2,other_or_review,commercial,Concord,2005,2006,code_and_category_changed,review_required,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
985,CFS-PARCEL-0149728876,46706548100000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
986,CFS-PARCEL-0149728895,46706505640000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
987,CFS-PARCEL-0149728896,46706505890000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
988,CFS-PARCEL-0149728945,46706502530000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
989,CFS-PARCEL-0149728946,46706505540000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
990,CFS-PARCEL-0149728947,46706513730000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
991,CFS-PARCEL-0149728948,46706523280000,2006,OI,C-2,commercial,commercial,Concord,2005,2006,zoning_code_changed,lateral_or_code_only,high,historical_map_change_detected,Change detected between consecutive historical source-year maps; not an official rezoning case event.,2026-06-13 05:47:35.097967-04:00
